Locality,Property_Type,BHK,Bathrooms,Balconies,Area_SqFt,Age_Years,Floor_No,Total_Floors,Furnishing,Parking_Spaces,Distance_From_Metro_KM,Price_INR
Shahdara,Apartment,2,2,0,1618.3,5,1,4,Semi-Furnished,1,1.08,7317000.0
Paschim Vihar,Independent House,3,3,3,1876.1,10,4,13,Fully-Furnished,2,3.64,17320000.0
Golf Links,Apartment,3,3,3,1165.6,22,4,9,Fully-Furnished,2,0.57,23821000.0
Vikaspuri,Apartment,2,2,2,845.4,33,11,19,Unfurnished,1,1.29,4447000.0
Greater Kailash,Apartment,3,3,1,1151.0,22,14,19,Semi-Furnished,1,0.48,18847000.0
Saket,Independent House,3,3,0,2021.6,33,3,12,Semi-Furnished,1,1.01,22989000.0
Karol Bagh,Builder Floor,2,2,3,1395.6,1,12,15,Semi-Furnished,1,1.76,14672000.0
Lajpat Nagar,Apartment,2,2,1,769.6,28,1,4,Unfurnished,0,0.65,6233000.0
Saket,Apartment,2,2,2,669.8,8,9,18,Semi-Furnished,1,1.43,7677000.0
Lajpat Nagar,Builder Floor,4,4,0,1366.3,14,14,22,Semi-Furnished,1,0.92,13918000.0
Golf Links,Builder Floor,3,3,0,1573.0,37,2,5,Unfurnished,0,0.95,24939000.0
Karol Bagh,Independent House,2,2,1,1375.8,17,14,18,Semi-Furnished,1,2.74,12398000.0
Shahdara,Independent House,4,4,1,1390.8,5,4,13,Unfurnished,0,0.33,8132000.0
Najafgarh,Apartment,2,2,0,922.3,30,7,12,Fully-Furnished,0,1.01,2972000.0
Lajpat Nagar,Builder Floor,2,2,3,1227.0,14,10,18,Semi-Furnished,2,0.46,13263000.0
Hauz Khas,Apartment,2,2,1,611.7,36,13,17,Unfurnished,1,0.92,6491000.0
Karol Bagh,Apartment,3,2,0,679.9,8,0,9,Semi-Furnished,1,1.06,6369000.0
Shahdara,Builder Floor,4,4,1,1232.1,34,2,3,Semi-Furnished,1,3.69,7234000.0
Rohini,Builder Floor,4,2,1,1628.9,13,9,13,Unfurnished,1,2.3,11217000.0
Rohini,Apartment,2,2,1,897.1,24,0,1,Unfurnished,1,0.14,3659000.0
Rohini,Independent House,2,2,2,1408.6,29,6,10,Fully-Furnished,1,2.46,9730000.0
Vasant Vihar,Apartment,4,3,2,1552.9,30,14,18,Semi-Furnished,1,1.4,28861000.0
Rohini,Apartment,3,3,2,1327.1,35,9,14,Fully-Furnished,2,0.84,7331000.0
Saket,Apartment,2,2,1,1296.3,24,0,8,Fully-Furnished,2,1.67,14262000.0
Hauz Khas,Builder Floor,1,1,0,1219.2,21,10,17,Unfurnished,0,0.36,14612000.0
Hauz Khas,Apartment,2,2,1,1861.6,25,8,11,Unfurnished,1,5.05,21021000.0
Golf Links,Apartment,3,2,3,1352.2,23,8,15,Unfurnished,0,0.75,24596000.0
Lajpat Nagar,Independent House,1,1,1,1892.4,0,12,19,Unfurnished,1,0.86,16074000.0
Shahdara,Apartment,1,1,1,1871.0,1,5,6,Unfurnished,1,0.34,8270000.0
Vasant Vihar,Apartment,2,2,1,1132.9,32,6,13,Unfurnished,1,2.15,15440000.0
Vasant Vihar,Independent House,3,3,1,1691.8,36,2,5,Semi-Furnished,0,0.21,26918000.0
Vikaspuri,Independent House,1,1,2,1322.7,20,2,5,Semi-Furnished,1,4.46,7749000.0
Uttam Nagar,Independent House,2,2,2,2402.0,36,5,14,Unfurnished,0,5.93,9258000.0
Mayur Vihar,Apartment,4,4,1,1088.7,16,13,22,Semi-Furnished,1,0.6,8557000.0
Lajpat Nagar,Apartment,4,3,2,1430.9,37,1,2,Unfurnished,1,2.55,13627000.0
Karol Bagh,Apartment,3,3,2,830.4,6,9,10,Unfurnished,1,1.46,7023000.0
Golf Links,Apartment,3,3,1,995.6,39,10,14,Semi-Furnished,0,1.67,16120000.0
Golf Links,Apartment,3,2,2,573.6,16,13,15,Semi-Furnished,1,0.84,11283000.0
Rohini,Builder Floor,2,2,2,1992.5,36,11,14,Unfurnished,1,0.9,9895000.0
Mayur Vihar,Builder Floor,1,1,2,1465.3,30,4,5,Semi-Furnished,1,3.78,8907000.0
Paschim Vihar,Apartment,2,2,3,1228.9,13,14,19,Semi-Furnished,0,0.24,10288000.0
Paschim Vihar,Builder Floor,3,3,2,1379.9,23,2,4,Fully-Furnished,1,1.16,11354000.0
Mayur Vihar,Independent House,3,3,1,2070.2,1,6,9,Fully-Furnished,0,4.15,18598000.0
Janakpuri,Apartment,2,2,0,1879.3,38,3,8,Semi-Furnished,0,1.26,10445000.0
Paschim Vihar,Apartment,3,3,3,519.9,36,10,16,Fully-Furnished,2,1.84,3727000.0
Janakpuri,Villa,2,2,1,3151.5,9,10,12,Unfurnished,0,6.31,26117000.0
Saket,Builder Floor,3,3,1,1025.2,34,1,3,Semi-Furnished,0,3.38,10782000.0
Saket,Independent House,2,2,0,1101.7,33,11,20,Unfurnished,2,2.66,9782000.0
Golf Links,Apartment,3,3,0,686.2,12,11,16,Fully-Furnished,0,4.29,12158000.0
Model Town,Builder Floor,3,3,2,1797.2,18,7,8,Unfurnished,0,0.81,15989000.0
Janakpuri,Independent House,3,2,2,2403.4,30,6,11,Semi-Furnished,0,3.41,21313000.0
Vikaspuri,Builder Floor,1,1,1,1165.4,39,14,16,Semi-Furnished,1,3.03,5650000.0
Saket,Apartment,4,3,0,1086.1,36,12,18,Fully-Furnished,1,0.14,12032000.0
Shahdara,Builder Floor,1,1,2,1329.8,13,14,18,Semi-Furnished,1,0.97,7929000.0
Lajpat Nagar,Builder Floor,2,2,0,1741.0,33,12,16,Unfurnished,1,0.36,12547000.0
Lajpat Nagar,Apartment,3,3,3,1173.1,27,12,17,Fully-Furnished,2,6.68,10415000.0
Model Town,Apartment,4,3,1,1086.3,24,7,9,Fully-Furnished,1,6.9,11364000.0
Vikaspuri,Apartment,1,1,1,1588.0,23,11,14,Unfurnished,1,0.0,6789000.0
Dwarka,Apartment,2,2,0,897.1,1,7,15,Unfurnished,1,0.02,7672000.0
Paschim Vihar,Independent House,3,3,2,2131.4,37,8,16,Semi-Furnished,1,0.32,17235000.0
Mayur Vihar,Villa,3,3,1,3198.2,31,1,2,Semi-Furnished,0,0.86,20484000.0
Vasant Vihar,Builder Floor,5,3,2,984.4,14,1,8,Semi-Furnished,2,0.27,19759000.0
Saket,Independent House,2,2,3,2590.3,27,13,17,Unfurnished,2,0.17,34379000.0
Chattarpur,Independent House,3,2,0,2540.6,13,10,12,Unfurnished,0,0.35,18828000.0
Janakpuri,Independent House,3,3,1,1858.6,31,2,4,Unfurnished,1,0.81,11118000.0
Pitampura,Apartment,2,2,1,1047.3,6,11,12,Fully-Furnished,1,2.72,6844000.0
Chattarpur,Independent House,3,3,1,2349.5,35,9,14,Unfurnished,1,1.82,15772000.0
Hauz Khas,Apartment,4,3,2,1295.7,39,4,5,Unfurnished,1,4.79,12652000.0
Karol Bagh,Apartment,2,2,1,1092.3,38,8,12,Semi-Furnished,0,0.99,8482000.0
Golf Links,Builder Floor,3,3,1,1405.1,30,10,13,Unfurnished,1,1.19,23612000.0
Mayur Vihar,Builder Floor,3,3,0,933.0,19,11,20,Semi-Furnished,1,1.53,5632000.0
Shahdara,Builder Floor,4,3,0,1508.8,13,1,10,Semi-Furnished,2,0.08,10548000.0
Greater Kailash,Apartment,3,2,0,1043.0,23,10,12,Unfurnished,2,1.74,14694000.0
Uttam Nagar,Apartment,2,2,0,1228.4,7,1,6,Unfurnished,1,1.17,4549000.0
Defence Colony,Villa,5,3,0,3602.6,17,0,8,Fully-Furnished,1,0.24,74931000.0
Vikaspuri,Builder Floor,4,4,1,1585.4,27,1,3,Semi-Furnished,1,4.03,11277000.0
Najafgarh,Builder Floor,2,2,2,1321.4,3,5,8,Fully-Furnished,1,3.2,5649000.0
Model Town,Builder Floor,3,3,2,959.3,6,14,19,Unfurnished,1,1.82,9506000.0
Shahdara,Apartment,2,2,2,1112.5,8,2,7,Fully-Furnished,1,1.3,6387000.0
Mayur Vihar,Apartment,3,3,1,610.8,20,6,13,Fully-Furnished,0,6.19,3815000.0
Hauz Khas,Builder Floor,3,3,1,1173.8,26,12,15,Semi-Furnished,0,2.53,14347000.0
Golf Links,Apartment,2,2,0,805.3,12,14,21,Unfurnished,1,0.41,13477000.0
Hauz Khas,Apartment,2,2,2,1243.1,20,5,14,Semi-Furnished,1,0.38,12398000.0
Karol Bagh,Builder Floor,3,3,2,1026.8,38,9,18,Unfurnished,1,1.2,7292000.0
Paschim Vihar,Apartment,3,3,0,1250.8,36,14,17,Semi-Furnished,1,0.53,8461000.0
Vikaspuri,Independent House,3,3,1,2266.8,10,6,14,Unfurnished,0,2.58,14456000.0
Karol Bagh,Builder Floor,3,3,1,1175.4,32,10,16,Unfurnished,0,1.46,9680000.0
Golf Links,Independent House,2,2,2,2078.5,2,5,11,Unfurnished,1,0.9,41211000.0
Greater Kailash,Builder Floor,3,3,0,1188.5,30,14,23,Unfurnished,1,1.1,15315000.0
Najafgarh,Apartment,2,2,0,399.3,19,7,15,Semi-Furnished,2,1.47,1400000.0
Saket,Apartment,3,3,0,1227.6,13,3,4,Unfurnished,1,0.96,14034000.0
Golf Links,Builder Floor,2,2,2,849.1,5,2,8,Semi-Furnished,2,3.81,17535000.0
Karol Bagh,Apartment,3,3,1,1365.9,13,5,8,Semi-Furnished,1,0.17,9745000.0
Greater Kailash,Apartment,5,4,2,789.0,24,12,18,Unfurnished,1,0.3,14583000.0
Najafgarh,Builder Floor,2,2,1,1403.1,7,4,6,Semi-Furnished,0,0.17,5011000.0
Mayur Vihar,Villa,3,3,0,2298.8,5,12,14,Semi-Furnished,0,0.13,18220000.0
Model Town,Apartment,3,3,1,1076.3,22,2,11,Unfurnished,0,0.72,8539000.0
Model Town,Apartment,3,3,1,1381.2,28,3,7,Semi-Furnished,1,0.28,15314000.0
Chattarpur,Apartment,3,3,0,718.2,21,4,11,Unfurnished,1,0.04,5096000.0
Uttam Nagar,Independent House,3,3,2,1602.6,20,4,6,Unfurnished,0,0.93,9032000.0
Shahdara,Apartment,1,1,0,1459.0,17,7,10,Unfurnished,1,1.23,6176000.0
Karol Bagh,Builder Floor,2,2,2,1742.7,39,4,11,Semi-Furnished,2,2.02,11467000.0
Uttam Nagar,Builder Floor,2,2,1,1703.3,7,12,20,Unfurnished,1,0.15,8394000.0
Greater Kailash,Apartment,2,2,2,695.9,27,2,7,Semi-Furnished,2,0.14,8696000.0
Karol Bagh,Apartment,3,3,1,1398.8,35,13,17,Semi-Furnished,1,1.51,10050000.0
Paschim Vihar,Apartment,2,2,3,1078.1,15,11,13,Unfurnished,1,5.26,7000000.0
Pitampura,Apartment,3,3,1,578.7,20,11,14,Fully-Furnished,1,0.67,3353000.0
Dwarka,Builder Floor,3,3,2,1349.9,39,13,20,Unfurnished,0,0.77,8774000.0
Lajpat Nagar,Apartment,2,2,0,1619.0,30,14,17,Unfurnished,1,1.07,12489000.0
Defence Colony,Independent House,3,3,2,1240.3,24,4,12,Semi-Furnished,0,0.57,20971000.0
Defence Colony,Builder Floor,4,4,1,1143.3,20,13,20,Semi-Furnished,1,0.94,18154000.0
Pitampura,Independent House,2,2,2,1420.1,36,9,13,Unfurnished,1,3.03,7307000.0
Greater Kailash,Apartment,2,2,2,981.8,28,13,16,Unfurnished,1,1.65,11810000.0
Hauz Khas,Apartment,3,2,1,1853.7,18,5,13,Unfurnished,1,2.46,22694000.0
Hauz Khas,Apartment,2,2,0,757.5,27,10,19,Fully-Furnished,1,1.09,9094000.0
Hauz Khas,Apartment,5,4,2,1263.5,25,4,13,Semi-Furnished,2,0.36,18051000.0
Lajpat Nagar,Apartment,3,3,3,941.7,34,13,16,Unfurnished,1,1.31,8649000.0
Karol Bagh,Builder Floor,1,1,3,1672.8,23,8,12,Semi-Furnished,0,1.88,14533000.0
Chattarpur,Independent House,2,2,3,1959.9,9,5,14,Semi-Furnished,0,1.34,14565000.0
Lajpat Nagar,Apartment,2,2,0,372.7,10,3,11,Semi-Furnished,2,0.11,3783000.0
Mayur Vihar,Builder Floor,5,2,2,1368.7,36,7,8,Semi-Furnished,2,1.88,11648000.0
Pitampura,Apartment,1,1,1,917.8,23,12,14,Unfurnished,1,3.14,5508000.0
Shahdara,Apartment,3,2,3,1075.2,1,9,11,Fully-Furnished,1,2.77,6570000.0
Mayur Vihar,Apartment,3,2,2,1519.2,31,6,11,Unfurnished,1,2.83,8587000.0
Uttam Nagar,Apartment,3,3,2,991.9,1,8,16,Semi-Furnished,2,1.55,6169000.0
Chattarpur,Builder Floor,2,2,1,1159.0,10,7,15,Unfurnished,1,1.72,5818000.0
Rohini,Builder Floor,3,2,2,1629.6,11,1,8,Semi-Furnished,1,4.55,10176000.0
Lajpat Nagar,Villa,2,2,2,3032.6,36,3,9,Fully-Furnished,2,0.25,31924000.0
Lajpat Nagar,Apartment,5,4,2,1076.1,3,11,17,Fully-Furnished,1,0.28,15029000.0
Defence Colony,Independent House,4,2,2,2717.2,27,12,21,Fully-Furnished,1,2.48,51776000.0
Mayur Vihar,Villa,2,2,2,3338.4,11,11,16,Unfurnished,0,2.54,26336000.0
Greater Kailash,Apartment,3,3,2,901.2,21,0,5,Fully-Furnished,2,0.59,11865000.0
Vasant Vihar,Apartment,3,2,0,746.3,8,3,4,Fully-Furnished,0,2.06,15746000.0
Hauz Khas,Builder Floor,1,1,1,1221.5,13,3,4,Semi-Furnished,1,2.19,12880000.0
Paschim Vihar,Independent House,2,2,1,1848.3,34,2,6,Unfurnished,1,0.06,11741000.0
Saket,Apartment,4,4,2,969.4,19,12,19,Semi-Furnished,1,1.98,13038000.0
Model Town,Builder Floor,3,2,1,1501.9,32,7,11,Unfurnished,1,0.71,12673000.0
Vikaspuri,Builder Floor,3,3,0,1528.5,15,12,13,Unfurnished,1,0.62,11518000.0
Vikaspuri,Builder Floor,4,3,0,1179.9,8,12,21,Semi-Furnished,2,4.22,9311000.0
Vasant Vihar,Apartment,4,3,0,944.6,18,9,13,Unfurnished,1,2.0,16737000.0
Chattarpur,Builder Floor,2,2,2,1820.5,2,5,7,Unfurnished,1,8.25,12551000.0
Rohini,Independent House,2,2,0,1957.8,7,2,3,Semi-Furnished,1,1.95,12317000.0
Vikaspuri,Independent House,3,2,0,1642.3,7,10,14,Unfurnished,1,3.24,11550000.0
Shahdara,Apartment,2,2,1,947.5,16,7,12,Unfurnished,1,4.15,4337000.0
Janakpuri,Independent House,4,2,1,1974.4,18,11,19,Fully-Furnished,1,1.87,18077000.0
Najafgarh,Apartment,1,1,2,1306.4,19,1,3,Unfurnished,1,1.22,4593000.0
Paschim Vihar,Apartment,4,3,1,1439.6,38,1,10,Semi-Furnished,2,1.83,13419000.0
Vikaspuri,Independent House,4,4,0,2082.7,1,12,18,Fully-Furnished,2,3.43,21431000.0
Pitampura,Apartment,3,2,0,1061.4,30,8,15,Fully-Furnished,0,0.98,5474000.0
Lajpat Nagar,Apartment,2,2,1,741.9,33,2,5,Fully-Furnished,2,1.13,6973000.0
Rohini,Builder Floor,3,3,0,1376.5,6,3,8,Fully-Furnished,1,0.34,9383000.0
Karol Bagh,Independent House,1,1,1,1434.9,37,4,12,Unfurnished,0,8.85,9562000.0
Vasant Vihar,Apartment,1,1,3,765.6,26,9,12,Unfurnished,1,1.23,11070000.0
Karol Bagh,Builder Floor,3,3,3,1609.1,12,10,14,Unfurnished,2,2.97,14552000.0
Defence Colony,Apartment,3,3,1,1619.8,33,12,15,Unfurnished,1,2.26,26039000.0
Mayur Vihar,Builder Floor,3,3,0,1027.5,33,10,14,Unfurnished,2,4.25,5549000.0
Rohini,Apartment,3,2,2,1043.1,36,3,9,Unfurnished,2,4.8,6047000.0
Lajpat Nagar,Apartment,3,3,0,936.4,19,8,14,Unfurnished,1,7.93,7291000.0
Mayur Vihar,Builder Floor,3,3,1,822.6,22,14,23,Unfurnished,1,4.5,4721000.0
Paschim Vihar,Apartment,4,3,3,1555.3,7,3,4,Semi-Furnished,0,0.55,17896000.0
Saket,Apartment,3,3,0,1316.8,2,5,10,Unfurnished,2,0.65,14611000.0
Uttam Nagar,Villa,3,2,0,3138.1,7,4,13,Semi-Furnished,2,1.9,20242000.0
Rohini,Apartment,3,2,1,812.1,7,2,4,Unfurnished,0,4.06,5218000.0
Golf Links,Apartment,3,2,0,1536.5,12,7,9,Unfurnished,2,5.3,26839000.0
Dwarka,Apartment,5,4,1,1290.6,24,5,6,Semi-Furnished,2,1.21,9476000.0
Hauz Khas,Independent House,2,2,2,2083.9,23,14,20,Semi-Furnished,0,4.97,25157000.0
Rohini,Apartment,2,2,0,550.0,11,0,9,Unfurnished,1,0.1,3052000.0
Saket,Builder Floor,2,2,0,1109.9,27,10,19,Unfurnished,0,3.7,12315000.0
Mayur Vihar,Independent House,4,4,0,1248.2,22,9,10,Fully-Furnished,2,2.25,8465000.0
Uttam Nagar,Apartment,5,4,3,1389.6,24,13,22,Unfurnished,1,2.07,8704000.0
Karol Bagh,Apartment,4,3,0,372.4,13,2,11,Unfurnished,1,1.08,3367000.0
Janakpuri,Apartment,4,4,2,850.6,35,12,19,Semi-Furnished,0,0.29,7372000.0
Dwarka,Apartment,3,3,0,1141.5,34,12,21,Fully-Furnished,1,1.57,7561000.0
Uttam Nagar,Builder Floor,3,3,1,1331.4,23,12,21,Fully-Furnished,1,2.26,6310000.0
Chattarpur,Apartment,2,2,1,840.2,29,8,10,Unfurnished,1,0.81,4345000.0
Vasant Vihar,Builder Floor,3,3,2,1588.6,12,6,10,Fully-Furnished,0,4.58,26623000.0
Vasant Vihar,Independent House,2,2,2,1626.3,28,1,3,Semi-Furnished,1,1.28,26141000.0
Hauz Khas,Villa,5,2,1,3210.4,25,11,18,Unfurnished,1,3.04,56407000.0
Janakpuri,Apartment,4,2,2,1106.4,0,0,4,Unfurnished,1,1.55,10514000.0
Pitampura,Independent House,3,3,0,2179.8,32,1,7,Semi-Furnished,0,1.39,14261000.0
Vikaspuri,Apartment,3,3,1,1352.5,29,2,8,Unfurnished,0,0.1,7946000.0
Vasant Vihar,Apartment,2,2,0,1103.1,3,2,10,Semi-Furnished,2,1.69,19844000.0
Lajpat Nagar,Apartment,3,3,3,853.3,33,6,14,Unfurnished,1,2.53,8141000.0
Uttam Nagar,Apartment,5,4,2,1545.8,8,4,8,Unfurnished,2,0.52,9515000.0
Lajpat Nagar,Apartment,3,3,1,953.0,26,8,11,Fully-Furnished,0,4.63,8884000.0
Golf Links,Villa,3,3,3,2527.9,26,9,10,Semi-Furnished,0,1.66,49124000.0
Paschim Vihar,Independent House,4,2,1,1716.0,10,8,17,Unfurnished,2,0.32,16092000.0
Janakpuri,Apartment,3,3,1,1605.1,18,12,19,Fully-Furnished,2,4.46,12257000.0
Vikaspuri,Builder Floor,2,2,0,1291.7,18,6,15,Unfurnished,0,4.23,4904000.0
Vasant Vihar,Apartment,2,2,2,1231.0,3,2,4,Fully-Furnished,1,0.66,25485000.0
Janakpuri,Apartment,1,1,1,1204.3,36,8,16,Unfurnished,1,0.72,6419000.0
Greater Kailash,Builder Floor,3,3,2,1732.1,29,13,18,Semi-Furnished,2,0.4,23579000.0
Najafgarh,Builder Floor,3,3,0,1220.7,30,9,11,Semi-Furnished,1,6.08,4781000.0
Karol Bagh,Apartment,3,2,1,1242.6,0,14,23,Unfurnished,2,1.19,11756000.0
Golf Links,Independent House,4,4,2,1871.7,16,1,10,Unfurnished,1,0.82,49496000.0
Chattarpur,Apartment,3,3,1,1193.5,16,2,6,Semi-Furnished,1,0.97,7864000.0
Model Town,Builder Floor,3,3,0,1476.8,23,10,13,Semi-Furnished,1,1.56,13839000.0
Vasant Vihar,Apartment,5,4,3,788.9,15,10,19,Unfurnished,1,0.69,16474000.0
Model Town,Apartment,4,4,3,1038.5,17,3,11,Unfurnished,1,0.68,11061000.0
Lajpat Nagar,Apartment,2,2,2,1302.9,32,13,15,Unfurnished,1,0.81,10091000.0
Golf Links,Apartment,3,3,0,1149.4,22,2,8,Semi-Furnished,2,0.79,21075000.0
Karol Bagh,Builder Floor,5,2,1,1391.8,27,13,22,Semi-Furnished,1,1.1,13163000.0
Shahdara,Apartment,3,3,1,851.4,9,5,11,Unfurnished,1,0.38,4412000.0
Uttam Nagar,Villa,3,3,2,2926.7,29,4,6,Semi-Furnished,1,1.66,17133000.0
Pitampura,Builder Floor,2,2,2,927.5,0,2,11,Unfurnished,2,2.67,7110000.0
Najafgarh,Apartment,2,2,2,1279.3,3,6,7,Semi-Furnished,2,0.5,6361000.0
Pitampura,Builder Floor,5,2,0,1569.4,34,3,8,Fully-Furnished,1,0.6,10441000.0
Pitampura,Apartment,3,3,2,1689.6,22,14,18,Unfurnished,0,0.48,11419000.0
Defence Colony,Apartment,2,2,1,1026.1,15,1,8,Fully-Furnished,2,3.46,16987000.0
Janakpuri,Builder Floor,2,2,1,1499.1,16,8,14,Semi-Furnished,1,4.01,8047000.0
Vasant Vihar,Builder Floor,3,3,1,1732.1,37,9,17,Unfurnished,1,5.51,25729000.0
Paschim Vihar,Builder Floor,1,1,1,1256.3,23,3,4,Semi-Furnished,1,2.13,6963000.0
Vasant Vihar,Builder Floor,3,3,2,1412.7,2,12,16,Unfurnished,2,0.02,25763000.0
Mayur Vihar,Apartment,2,2,2,1984.7,24,12,19,Unfurnished,2,3.09,12402000.0
Vikaspuri,Apartment,4,2,1,1312.3,34,6,12,Semi-Furnished,1,4.31,8541000.0
Mayur Vihar,Builder Floor,3,2,2,1283.2,12,13,17,Unfurnished,0,0.36,9898000.0
Rohini,Builder Floor,2,2,1,1838.5,31,9,12,Unfurnished,1,0.22,9501000.0
Hauz Khas,Apartment,2,2,1,899.2,14,13,21,Semi-Furnished,1,1.07,10436000.0
Vasant Vihar,Apartment,2,2,1,1425.8,0,1,2,Semi-Furnished,2,1.16,29440000.0
Shahdara,Apartment,2,2,1,1357.5,16,10,19,Semi-Furnished,1,4.34,6427000.0
Lajpat Nagar,Independent House,4,4,2,2112.3,6,13,16,Fully-Furnished,1,1.32,33000000.0
Lajpat Nagar,Apartment,4,3,0,1471.2,21,5,14,Semi-Furnished,2,1.58,13809000.0
Shahdara,Apartment,2,2,1,1460.0,28,2,5,Unfurnished,1,1.88,6132000.0
Hauz Khas,Apartment,3,2,1,1369.1,8,11,13,Semi-Furnished,1,0.14,22713000.0
Rohini,Apartment,2,2,2,1462.0,34,4,7,Semi-Furnished,1,0.37,9799000.0
Pitampura,Apartment,2,2,1,770.2,25,3,8,Semi-Furnished,1,0.73,4480000.0
Janakpuri,Builder Floor,2,2,2,1810.8,29,11,12,Semi-Furnished,0,1.17,10275000.0
Paschim Vihar,Villa,3,3,2,3975.6,0,13,18,Semi-Furnished,0,1.81,35508000.0
Karol Bagh,Independent House,3,2,0,2220.9,36,3,4,Unfurnished,0,0.6,18406000.0
Saket,Apartment,3,3,1,1394.0,39,14,21,Fully-Furnished,2,3.73,14947000.0
Lajpat Nagar,Builder Floor,2,2,3,2134.8,10,10,15,Semi-Furnished,1,0.75,18971000.0
Najafgarh,Apartment,2,2,1,1171.9,34,2,7,Fully-Furnished,1,1.74,4371000.0
Model Town,Apartment,2,2,3,854.5,33,6,11,Semi-Furnished,1,1.17,8837000.0
Paschim Vihar,Independent House,3,2,1,2250.2,17,10,17,Fully-Furnished,0,5.18,21686000.0
Mayur Vihar,Apartment,3,3,0,1433.9,6,3,4,Unfurnished,1,1.21,10227000.0
Uttam Nagar,Apartment,3,3,3,1046.3,27,7,9,Semi-Furnished,0,5.08,4262000.0
Lajpat Nagar,Independent House,1,1,0,1813.7,19,3,10,Fully-Furnished,1,0.47,16533000.0
